Topic	PC	Keywords	Text	label	tweet
8.0	0.1009	mujer, violencia, hombre, odio, joven, niño, sufrir, menor, cara, genero, escribir, condenar, miedo, voz, denunciar, libre, machista, matar, pena, discurso	['pandemia', 'portavoz', 'regional', 'debate', 'discurso', 'aprovechar', 'dolor', 'desgracia', 'anclado', 'absolver', 'presidente', 'autonomico', 'page', 'virus', 'maldad', 'compromisocon']	@user51	Nuñez sin la pandemia no es nada. El portavoz regional del [POLITICAL_PARTY] en el #DebateCLM20 no sabe hacer un discurso sin aprovecharse del dolor y de la desgracia. Está anclado en marzo. Absuelve a los presidentes autonómicos del [POLITICAL_PARTY] y culpa a Page del virus. Maldad. #CompromisoconCLM
13.0	0.1027	partido, votar, derecha, politico, voto, eleccion, ganar, izquierda, gobernar, cataluña, mayoria, pacto, campaña, favor, oposicion, catalan, elegir, pactar, juez, electoral	['tremendamente', 'feliz', 'ministra', 'españa', 'personal', 'amiga', 'politico', 'garantia', 'escuela', 'raiz', 'tierra', 'todoterreno', 'principio', 'ganar', 'ganar', 'españa']	@user51	Tremendamente feliz de que @user sea ministra de España. En lo personal porque es amiga de las de verdad. En lo político porque es una verdadera garantía, escuela y raíces de esta tierra, una todoterreno con los principios y los valores claros. Gana el [POLITICAL_PARTY] y gana España
4.0	0.1237	gobierno, españa, español, pagar, impuesto, luz, subir, mocion, precio, bajar, fiscal, censura, mentir, iva, mascarilla, exigir, proponer, anunciar, subida, progresista	['decena', 'colectivo', 'avisar', 'practica', 'partidariamente', 'funcion', 'desear', 'dialogo', 'serio', 'sincero', 'camara', 'confrontacion', 'disculpa', 'serio']	@user51	Decenas de colectivos nos han avisado de estas prácticas. @user parece que les usa partidariamente, función que no desean. El diálogo serio y sincero no es el que busca la cámara y la confrontación. Nuñez debe pedirles disculpas pero sobre debe dejar de hacerlo. No es serio
9.0	0.1095	millon, andalucia, euro, presupuesto, apoyar, permitir, mantener, dinero, EUR, recibir, alto, punto, provincia, obra, suponer, dato, andaluz, junta, region, pge	['presupuesto', 'distinto', 'enmienda', 'presupostar', 'costar', 'residencia', 'serio', 'clm', 'tonta', 'enmienda', 'fake', 'rechazar']	@user51	(2/3)Dicen que llevan meses trabajado en unos presupuestos distintos a los de @user pero @user sólo enmienda el 3% del mismos, presupuestando en lo que cuesta una residencia, 16. O no son serios, o no saben, o toman a CLM por tonta. Las enmiendas fake serán rechazadas
8.0	0.1202	mujer, violencia, hombre, odio, joven, niño, sufrir, menor, cara, genero, escribir, condenar, miedo, voz, denunciar, libre, machista, matar, pena, discurso	['lider', 'clm', 'rapido', 'criticar', 'bulo', 'reteter', 'silencio', 'definir', 'doler', 'indicar', 'caber', 'valiente', 'paisana', 'region', 'historia']	@user51	(2/3)El líder del [POLITICAL_PARTY] CLM es el más rápido en criticar, y si es de bulos, retuitea a mil por hora. Por eso este silencio le define y nos duele porque indica que algunos están en el cuanto peor, mejor. Más si cabe si una valiente paisana y con ella la Región han hecho historia hoy.
1.0	0.0884	futuro, proyecto, equipo, enhorabuena, compromiso, compartir, tierra, honor, orgullo, camino, esfuerzo, oportunidad, merecer, cultura, unir, dificil, suerte, participar, apoyo, acompañar	['cuidar', 'presidente', 'parar', 'responsabilidad', 'impedir', 'gana', 'cariño', 'paisano', 'ganar', 'ania', 'respeto', 'vaciar', 'region', 'animo']	@user51	Sigue cuidándote presidente. No puedes parar, tu sentido de la responsabilidad te lo impide y las ganas de trabajar no te dejan, aunque no estás todavía al 100%. El cariño de tus paisanos te lo has ganado por tu cercanía, su respeto por vaciarte por tu región. Ánimo @user
3.0	0.1704	madrid, pandemia, salud, caso, sanitario, comunidad, covid, ayuso, gestion, unido, virus, responsabilidad, alarma, vacuna, medida, decision, parar, personal, centro, ccaa	['clm', 'incidencia', 'caso', 'hab', 'oms', 'exigir', 'controlar', 'covid', 'municipio', 'caso', 'paco', 'nuñez', 'mago', 'pop', 'medida', 'responsabilidad']	@user51	En CLM tenemos, a 7 días, una incidencia de 63 casos por 100M hab -cerca de los 50 que la OMS exige para tener controlado la COVID- El 70% de los municipios no han tenido nuevos casos. Puede que Paco Nuñez piense que ha sido el Mago Pop pero son las medidas y la responsabilidad
8.0	0.1027	mujer, violencia, hombre, odio, joven, niño, sufrir, menor, cara, genero, escribir, condenar, miedo, voz, denunciar, libre, machista, matar, pena, discurso	['proponer', 'cheque', 'bebe', 'medida', 'criticar', 'rabiar', 'proponer', 'mujer', 'menor', 'adopcion', 'monomarental', 'oposicion', 'subir', 'pan', 'recordar', 'video']	@user51	Hoy Nuñez ha propuesto un chequé bebé. Medida que criticó a rabiar cuando lo hizo ZP. Pero las propone sólo para las mujeres menores de 30 años (😳) y no para la adopción (no sea que entre alguna monomarental). Hasta en la oposición cuando hablan sube el pan. Recuerden este vídeo
12.0	0.1412	politica, publico, educacion, servicio, forma, institucion, programa, sanidad, sistema, comun, jugar, realidad, explicar, falta, recurso, clase, calidad, dedicar, ciencia, privado	['eco', 'sentencia', 'tsj', 'cataluña', 'mantener', 'castellano', 'lengua', 'vehicular', 'colegio', 'catalan', 'aplicar', 'ley', 'celaa', 'demostrado', 'mentira', 'clm', 'votar', 'castellano', 'rectificar']	@user51	Hoy “El Mundo” se hace eco de una sentencia en la que el TSJ de Cataluña mantiene el castellano como lengua vehicular en dos colegios catalanes aplicando la Ley Celaá. Queda demostrada la mentira del [POLITICAL_PARTY] de CLM de que habíamos votado en contra del castellano. ¿Rectificarán mañana?
0.0	0.1031	crisis, empleo, plan, necesitar, economico, empresa, trabajador, cambio, social, sector, medida, ayuda, canario, economia, autonomo, paro, ayudar, laboral, erte, situacion	['valorado', 'genova', 'propuesta', 'recibir', 'rechazo', 'contundente', 'rapido', 'partido', 'ocurrencia', 'irresponsable', 'oportuno', 'ayudar', 'gobierno', 'salvar', 'vida', 'empleo', 'serio']	@user51	Nunca ha sido el más valorado en Génova pero nunca una propuesta recibió un rechazo tan contundente y rápido de su propio partido. A @user le puede la ocurrencia, más propia de lo irresponsable que de lo oportuno. Ayuden a los gobiernos a salvar vidas y empleos, sean serios
