label	gender	profession	ideology_binary	ideology_multiclass	1	2	3	4	5	6	7	8	9	10	11	12	13	14
@user10	male	journalist	right	moderate_right	0.0	0.0	0.0	0.0	0.0	0.0	0.002268683274021352	0.0	0.0	0.0	0.0	0.0	0.0	0.0
@user105	male	politician	left	moderate_left	0.0	0.0	0.0	0.0024354982206405695	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
@user13	female	journalist	left	left	0.0	0.0	0.005189056939501779	0.0	0.0	0.0	0.0	0.0021530249110320284	0.0	0.0	0.005197953736654805	0.002644572953736655	0.0	0.0025155693950177937
@user144	male	politician	left	left	0.0	0.0	0.0	0.002595640569395018	0.0	0.0	0.0023932384341637013	0.0	0.0	0.0	0.0	0.0	0.0	0.0
@user182	male	politician	left	left	0.0	0.0	0.002439946619217082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
@user188	male	politician	left	moderate_left	0.0	0.0	0.0023576512455516013	0.0	0.0	0.0	0.0	0.0031405693950177934	0.0	0.0	0.0	0.0	0.0	0.0
@user247	female	politician	right	moderate_right	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0033941281138790036	0.0	0.0
@user250	male	politician	left	moderate_left	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0027112989323843416	0.0	0.0	0.0
@user261	male	politician	left	left	0.0	0.0	0.0	0.0	0.0	0.002188612099644128	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
@user27	female	politician	left	moderate_left	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0021730427046263347	0.0	0.0	0.0	0.0	0.0
@user280	male	politician	left	moderate_left	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0028069395017793594
@user29	male	politician	right	moderate_right	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002319839857651246	0.0	0.0	0.0	0.0	0.0	0.0
@user295	male	politician	left	moderate_left	0.00226423487544484	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003634341637010676
@user304	male	journalist	right	moderate_right	0.0	0.0	0.0	0.0	0.0	0.0024777580071174378	0.0	0.0	0.0029025800711743772	0.0	0.0	0.0	0.0	0.0
@user35	male	journalist	right	right	0.0	0.0	0.0	0.0	0.002253113879003559	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
@user359	male	politician	left	left	0.0	0.0	0.0	0.0	0.003943505338078292	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
@user375	male	politician	right	moderate_right	0.0	0.0	0.0027201957295373666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
@user390	male	politician	right	moderate_right	0.0	0.0028358540925266904	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
@user391	male	politician	left	moderate_left	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002253113879003559	0.0	0.0	0.0
@user40	female	journalist	left	left	0.0	0.0	0.0019995551601423487	0.0	0.0	0.0	0.0	0.0023376334519572954	0.0	0.0	0.0	0.0	0.0	0.0
@user402	male	politician	left	moderate_left	0.002933718861209964	0.0	0.0	0.0	0.0	0.0	0.002520017793594306	0.0	0.0	0.0	0.0	0.0	0.0	0.002295373665480427
@user460	female	politician	left	left	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0019194839857651245	0.0	0.0	0.0	0.0	0.0	0.0
@user48	male	politician	left	left	0.0	0.0	0.0	0.002520017793594306	0.005040035587188612	0.0	0.0	0.004045818505338078	0.0	0.0	0.0	0.0	0.0	0.002633451957295374
@user51	male	politician	left	moderate_left	0.0022931494661921708	0.0019661921708185055	0.0020662811387900356	0.008979092526690392	0.0027513345195729535	0.0	0.0	0.0	0.007201957295373665	0.0024354982206405695	0.0	0.0	0.005309163701067616	0.0045974199288256225
@user52	male	politician	right	right	0.020976423487544485	0.01696841637010676	0.025378113879003558	0.006225533807829182	0.0024777580071174378	0.054555160142348756	0.041387900355871886	0.012457740213523132	0.02100978647686833	0.05410809608540926	0.007201957295373667	0.023020462633451963	0.008338523131672597	0.02490658362989324
@user56	male	politician	left	moderate_left	0.07534475088967972	0.04055604982206405	0.01994217081850534	0.017846975088967973	0.003567615658362989	0.004795373665480427	0.051528024911032026	0.029301601423487544	0.007666814946619217	0.039446174377224204	0.017733540925266904	0.016654804270462634	0.004481761565836299	0.01928603202846975
@user57	male	politician	right	moderate_right	0.05567615658362989	0.057233096085409246	0.005035587188612099	0.008044928825622777	0.029586298932384344	0.0026823843416370107	0.01909919928825623	0.031859430604982204	0.002030693950177936	0.05999110320284698	0.01910809608540925	0.010604982206405694	0.008718861209964414	0.038485320284697505
@user58	male	journalist	right	right	0.004388345195729538	0.004470640569395019	0.034019128113879006	0.00661032028469751	0.017733540925266904	0.07934830960854093	0.004728647686832741	0.019755338078291815	0.027686832740213524	0.008961298932384343	0.005191281138790036	0.02232428825622776	0.02138567615658363	0.04079626334519573
@user6	female	politician	right	moderate_right	0.04355871886120996	0.03957740213523132	0.01731094306049822	0.10126112099644127	0.016752669039145907	0.0027157473309608543	0.03859875444839858	0.024323843416370103	0.015431494661921709	0.0	0.0199288256227758	0.00933274021352313	0.019459519572953735	0.005108985765124556
@user60	male	politician	left	moderate_left	0.026129893238434163	0.0218038256227758	0.030571619217081854	0.01987099644128114	0.010140124555160144	0.03191725978647687	0.03193060498220641	0.021972864768683275	0.03664590747330961	0.007350978647686833	0.04669039145907474	0.010331405693950179	0.012426601423487544	0.028169483985765124
@user61	female	politician	right	moderate_right	0.0036743772241992884	0.013345195729537365	0.033047153024911034	0.007691281138790036	0.007228647686832741	0.0076690391459074735	0.019052491103202847	0.20009119217081853	0.027297597864768684	0.019719750889679716	0.005960854092526691	0.014572953736654806	0.0025533807829181496	0.011023131672597865
@user66	female	politician	right	right	0.01736877224199288	0.009508451957295374	0.034604092526690396	0.009741992882562278	0.023311832740213524	0.03469083629893239	0.02574288256227758	0.024759786476868325	0.07866770462633452	0.01403247330960854	0.0	0.035080071174377225	0.007066281138790036	0.004721975088967972
@user68	male	politician	right	right	0.007900355871886122	0.0020996441281138792	0.023109430604982203	0.014428380782918152	0.009225978647686832	0.03331850533807829	0.04616992882562278	0.02385453736654804	0.03368549822064057	0.008334074733096086	0.022838078291814945	0.01375667259786477	0.012717971530249108	0.03654581850533808
@user69	female	politician	left	left	0.015842971530249113	0.018545373665480428	0.004590747330960854	0.007866992882562278	0.03418149466192171	0.026972864768683276	0.03177491103202847	0.008084964412811388	0.03211966192170818	0.009519572953736654	0.06256895017793594	0.004850978647686833	0.0436432384341637	0.029855427046263344
@user7	female	politician	right	moderate_right	0.021452402135231318	0.024092526690391455	0.035827402135231314	0.059288256227758004	0.045322508896797155	0.005473754448398576	0.0	0.019266014234875443	0.013865658362989322	0.02951512455516014	0.007155249110320285	0.031365658362989324	0.016163256227758008	0.02078291814946619
@user70	male	politician	right	moderate_right	0.017962633451957297	0.035035587188612105	0.019079181494661923	0.007201957295373665	0.053260676156583635	0.02718638790035587	0.012395462633451959	0.027411032028469753	0.006826067615658363	0.041585854092526686	0.004648576512455516	0.013213967971530252	0.013961298932384342	0.02510008896797153
@user71	male	journalist	left	left	0.009497330960854092	0.009701957295373665	0.0326423487544484	0.04906806049822064	0.02129670818505338	0.047791370106761565	0.007786921708185054	0.015916370106761567	0.050173487544483975	0.007133007117437722	0.0038478647686832736	0.026672597864768686	0.02030693950177936	0.02325622775800712
@user72	female	journalist	right	right	0.00912144128113879	0.04404581850533808	0.018896797153024912	0.029361654804270467	0.004223754448398577	0.03325400355871886	0.006129893238434165	0.04149688612099644	0.022019572953736653	0.005778469750889681	0.0064968861209964415	0.018447508896797152	0.01167482206405694	0.0019283807829181493
@user73	female	politician	right	moderate_right	0.09886565836298931	0.017838078291814947	0.011556939501779358	0.02410364768683274	0.04762233096085409	0.01336076512455516	0.03285809608540925	0.011745996441281138	0.0019995551601423487	0.018612099644128115	0.004873220640569395	0.010311387900355871	0.014143683274021353	0.035680604982206404
@user75	female	politician	right	moderate_right	0.04305827402135231	0.022902580071174378	0.010175711743772242	0.03466859430604982	0.013507562277580073	0.025108985765124558	0.0295173487544484	0.02362766903914591	0.06438389679715302	0.006892793594306051	0.01696174377224199	0.025191281138790034	0.010814056939501777	0.004770907473309609
@user76	female	politician	right	moderate_right	0.11949065836298932	0.02241325622775801	0.011823843416370109	0.005969750889679715	0.008863434163701066	0.011616992882562276	0.027368772241992884	0.040602758007117434	0.012477758007117437	0.009822064056939502	0.017359875444839856	0.021528024911032027	0.007606761565836298	0.013400800711743774
@user77	male	politician	right	moderate_right	0.018267348754448395	0.06845195729537366	0.004788701067615658	0.025193505338078293	0.026979537366548043	0.018169483985765122	0.02254225978647687	0.03281361209964413	0.012072953736654806	0.016292259786476866	0.017290925266903914	0.015475978647686833	0.012531138790035588	0.04719306049822064
@user8	female	politician	left	moderate_left	0.0204114768683274	0.018354092526690388	0.010989768683274021	0.11810943060498222	0.013080516014234874	0.012995996441281141	0.0242838078291815	0.018523131672597865	0.011056494661921707	0.07138345195729538	0.022840302491103203	0.004459519572953737	0.008298487544483986	0.004951067615658364
